"SA2,""latitude.y"",""longitude.y"""
"Budgewoi - Buff Point - Halekulani,-33.2295483666667,151.550073966667"
"Chittaway Bay - Tumbi Umbi,-33.345968,151.43975815"
"Gorokan - Kanwal - Charmhaven,-33.2480901,151.501424366667"
"Jilliby - Yarramalong,-33.2782269,151.272301922776"
"Lake Munmorah - Mannering Park,-33.18423205,151.55386885"
"Ourimbah - Fountaindale,-33.3497673,151.38135725"
"Summerland Point - Gwandalan,-33.1395583,151.584281759756"
"The Entrance,-33.3440586,151.4960171"
"Toukley - Norah Head,-33.2711177,151.56268153755"
"Tuggerah - Kangy Angy,-33.3144072,151.40859504265"
"Warnervale - Wadalba,-33.26041825,151.45820405"
"Wyong,-33.2825132,151.4256691"
"Central Coast Region nfd,-25,135"
"Bathurst - East,-41.4336994073679,147.133426637454"
"Bathurst Surrounds,-25,135"
"Condobolin,-33.0880805,147.1479606"
"Cowra,-33.81112855,148.693564928863"
"Cowra Surrounds,-25,135"
"Forbes,-33.37877205,147.953438813101"
"Grenfell,-33.8967902,148.160764"
"Parkes (NSW),-33.1368067,148.1754823"
"Parkes Surrounds,-25,135"
"West Wyalong,-33.923661,147.2050849"
"Mudgee,-32.5980702,149.5886383"
"Mudgee Surrounds - East,NA,NA"
"Mudgee Surrounds - West,NA,NA"
"Blayney,-33.61663685,149.164056498771"
"Orange,-33.2820463,149.0971567"
"Orange - North,NA,NA"
"Orange Surrounds,-25,135"
"Coonamble,-30.86520965,148.262377268197"
"Coonabarabran,-31.2728076,149.2733225"
"Dubbo - East,-32.2538253,148.621897635436"
"Dubbo - South,-32.2740897,148.5772734"
"Dubbo - West,-32.2483174,148.5844392"
"Dubbo Surrounds,-25,135"
"Gilgandra,-31.63258185,148.704448867143"
"Narromine,-32.2317016,147.952851737798"
"Wellington,-32.5542815,148.9515327"
"Bathurst - South,-33.4400022,149.57611"
"Bathurst - West,-33.4066704,149.5622182"
"Central NSW Region nfd,-25,135"
"Branxton - Greta - Pokolbin,-32.7093659333333,151.342562466667"
"Cessnock,-32.8316667,151.3511111"
"Cessnock Surrounds,-25,135"
"Dungog,-32.3472009,151.626243854405"
"Kurri Kurri - Abermain,-32.81236055,151.4554313"
"Singleton,-32.602355,151.113288707312"
"Singleton Surrounds,-25,135"
"Maitland,-32.7316683,151.5511123"
"Maitland - North,-34.97742,138.62645"
"Anna Bay,-32.7779061,152.0890203"
"Lemon Tree Passage - Tanilba Bay,-32.7367172986781,152.000561749588"
"Nelson Bay Peninsula,-32.717379,152.1601772"
"Raymond Terrace,-32.7610569,151.7462299"
"Seaham - Woodville,-33.7705537,145.13287985"
"Williamtown - Medowie - Karuah,-32.7337037,151.8864815"
"Muswellbrook,-32.4881159,150.516408048667"
"Muswellbrook Surrounds,-25,135"
"Scone,-32.0468773,150.866996"
"Scone Surrounds,-25,135"
"Gloucester,-32.0067278,151.9595082"
"Belmont - Bennetts Green,-30.25515075,152.4099535"
"Belmont South - Blacksmiths,-33.08032175,151.656903702682"
"Charlestown - Dudley,-29.6786862,151.8190808"
"Glendale - Cardiff - Hillsborough,-29.8758013666667,139.4467773"
"Mount Hutton - Windale,-29.45598285,150.02096845"
"Redhead,-33.0111111,151.7077778"
"Swansea - Caves Beach,-33.0923916,151.629707910827"
"Valentine - Eleebana,-33.0039698,151.647082937956"
"Warners Bay - Boolaroo,-32.9602933,151.63838325"
"Bolton Point - Teralba,-32.9825022,151.609271"
"Bonnells Bay - Silverwater,-33.10538105,151.5446276"
"Edgeworth - Cameron Park,-32.9120833,151.6201389"
"Morisset - Cooranbong,-33.0841248841922,151.458504744216"
"Toronto - Awaba,-33.03277185,151.567879320045"
"Wangi Wangi - Rathmines,-33.0354374199089,151.564083964141"
"West Wallsend - Barnsley - Killingworth,-34.3388352666667,149.5300686"
"Adamstown - Kotara,-32.9375842,151.70928545"
"Beresfield - Hexham,-32.8140063,151.67105885"
"Hamilton - Broadmeadow,-32.9249315,151.746364314468"
